eo_number,document_number,authority,source_quote,quote_trimmed
13099,98-22940,International Emergency Economic Powers Act,the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.),0
13099,98-22940,National Emergencies Act,the National Emergencies Act (50 U.S.C. 1601 et seq.),0
13100,98-23258,President,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13101,98-25023,Steering Committee,There is hereby established a Steering Committee on Greening the Government through Waste Prevention and Recycling (“Steering Committee”),0
13101,98-25023,Federal Environmental Executive (FEE),"A Federal Environmental Executive, Environmental Protection Agency, shall be designated by the President",0
13101,98-25023,Task Force,The Steering Committee shall charter a Task Force on Greening the Government through Waste Prevention and Recycling,0
13101,98-25023,Agency Environmental Executives (AEEs),"Within 90 days after the date of this order, the head of each major procuring agency shall designate an AEE",0
13105,98-30054,section 860 of the Foreign Service Act of 1980,section 860 of the Foreign Service Act of 1980 (22 U.S.C. 4071i),0
13106,98-32953,delegates authority for federal pay administration,Delegation of a Federal Pay Administration Authority.,0
13107,98-33348,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13109,98-34034,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13110,99-980,the Constitution,by the authority vested in me as President by the Constitution,0
13110,99-980,Nazi War Crimes Disclosure Act (Public Law 105-246),including the Nazi War Crimes Disclosure Act (Public Law 105-246),0
13111,99-1185,Federal Advisory Committee Act,"including the Federal Advisory Committee Act, as amended (5 U.S.C. App.)",0
13111,99-1185,Government Employees Training Act of 1958,"the Government Employees Training Act of 1958 (Public Law 85-507), as amended",0
13111,99-1185,Executive Order 11348,"Executive Order 11348, ``Providing for the Further Training of Government Employees,''",0
13112,99-3184,revokes EO 11987,"Executive Order 11987 of May 24, 1977, is hereby revoked.",0
13113,99-3832,High-Performance Computing Act of 1991 (Public Law 102-194) as amended by the Next Generation Internet Research Act of 1998 (Public Law 105-305),"including the High-Performance Computing Act of 1991 (Public Law 102-194), as amended by the Next Generation Internet Research Act of 1998 (Public Law 105-305)",0
13115,99-7999,Presidential authority under the Constitution and U.S. law,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13116,99-8433,"title III of the Act of March 3, 1993, as amended (41 U.S.C. 10d)","title III of the Act of March 3, 1993, as amended (41 U.S.C. 10d)",0
13116,99-8433,"sections 141 and 301-310 of the Trade Act of 1974, as amended (19 U.S.C. 2171, 2411-2420)","sections 141 and 301-310 of the Trade Act of 1974, as amended",1
13118,99-8547,delegates authority to the Secretary of State for foreign‑assistance functions,there are hereby delegated to the Secretary of State ... all functions conferred upon the President by:,0
13119,99-9738,section 112 of the Internal Revenue Code of 1986 (26 U.S.C. §112),"I designate, for the purposes of that section, the following locations, including the airspace above such locations, as an area in which Armed Forces of the United States are and have been engaged in combat:",0
13120,99-10901,delegates_authority,"I hereby authorize the Secretary of Defense, and the Secretary of Transportation with respect to the Coast Guard when it is not operating as a service in the Department of the Navy, under their respective jurisdictions, to order to active duty any units, and any individual members not assigned to a unit organized to serve as a unit, of the Selected Reserve, or any member in the Individual Ready Reserve mobilization category and designated as essential under regulations prescribed by the Secretary",1
13121,99-11410,revokes_section_of_EO_13088,Section 2 of Executive Order 13088 is hereby revoked,0
13121,99-11410,amends_section_of_EO_13088,"Section 1(a) of Executive Order 13088 of June 9, 1998, is revised to read as follows:",0
13121,99-11410,amends_section_of_EO_13088,Section 4 of Executive Order 13088 is revised to read as follows:,0
13121,99-11410,amends_section_of_EO_13088,Section 7 of Executive Order 13088 is revised to read as follows:,0
13122,99-13825,President,"By the authority vested in me as President by the Constitution and the laws of the United States of America, and in order to provide a more rapid and integrated Federal response to the economic development challenges of the Southwest Border region, it is hereby ordered as follows:",0
13123,99-14633,National Energy Conservation Policy Act (42 U.S.C. 8252 et seq.),"including the National Energy Conservation Policy Act (Public Law 95-619,",1
13123,99-14633,Energy Policy Act of 1992 (Public Law 102-486),as amended by the Energy Policy Act of 1992 (EPACT) (Public Law,1
13123,99-14633,31 U.S.C. § 301,"and section 301 of title 3, United States Code",0
13124,99-14825,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including sections 3301 and 3302 of title 5, United States Code",0
13125,99-14901,Secretary of HHS,The Secretary of the Department of Health and Human Services (Secretary) shall appoint an Executive Director for the Commission.,0
13125,99-14901,Executive Director of the Commission,The Executive Director of the Commission shall also serve as the Director of the,1
13126,99-15491,Tariff Act of 1930; Fair Labor Standards Act; Walsh‑Healey Public Contracts Act,"consistent with the Tariff Act of 1930, 19 U.S.C. 1307, the Fair Labor Standards Act, 29 U.S.C. 201 et. seq., and the Walsh‑Healey Public Contracts Act, 41 U.S.C. 35 et seq.",0
13127,99-15623,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13128,99-16634,Secretary of Commerce,"The Secretary of Commerce is authorized: (a) to obtain and execute warrants pursuant to section 305 of the Act for the purposes of conducting inspections of facilities subject to the regulations issued by the Department of Commerce pursuant to section 3 of this order; (b) to suspend or revoke export privileges pursuant to section 211 of the Act; and (c) to carry out all functions with respect to proceedings under section 501(a) of the Act and to issue regulations with respect thereto, except for those functions that the Act specifies are to be performed by the Secretary of State or the USNA.",0
13129,99-17444,"International Emergency Economic Powers Act, National Emergencies Act, and 31 U.S.C. §301","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.)",1
13130,99-18476,Presidential authority under the Constitution and Federal Advisory Committee Act,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Advisory Committee Act, as amended (5 U.S.C. App.)",0
