eo_number,document_number,due_description,due_date,responsible_party,source_quote,quote_trimmed
13078,98-7139,agency reviews to be submitted to the Task Force,1998-11-15,"OPM, Labor, EEOC","by November 15, 1998, the Office of Personnel Management, the Department of Labor, and the Equal Employment Opportunity Commission shall submit to the Task Force a review of Federal Government personnel laws, regulations, and policies",0
13078,98-7139,agency reports to the Task Force,1998-11-15,"DOJ, Labor, Education, HHS","The Departments of Justice, Labor, Education, and Health and Human Services shall report to the Task Force by November 15, 1998",0
13078,98-7139,agency reports to the Task Force,1998-11-15,"Education, Labor, Commerce, HHS, SBA, President's Committee","The Departments of Education, Labor, Commerce, and Health and Human Services, the Small Business Administration, and the President's Committee on Employment of People with Disabilities shall work together and report to the Task Force by November 15, 1998",0
13078,98-7139,agency reports to the Task Force,1998-11-15,"DOT, HUD","The Departments of Transportation and Housing and Urban Development shall report to the Task Force by November 15, 1998",0
13078,98-7139,agency reports to the Task Force,1998-11-15,"DOJ, Education, Labor, EEOC, SSA","The Departments of Justice, Education, and Labor, the Equal Employment Opportunity Commission, and the Social Security Administration shall work together and report to the Task Force by November 15, 1998",0
13078,98-7139,development of employment measurement methodology,,"BLS, Census Bureau","the Bureau of Labor Statistics ... shall design and implement a statistically reliable and accurate method to measure the employment rate of adults with disabilities as soon as possible, but no later than the date of termination of the Task Force.",0
13078,98-7139,non‑Task‑Force agency reports,1998-11-15,All other executive agencies,"All executive agencies that are not members of the Task Force shall ... file a report with the Task Force on the results of its review on November 15, 1998.",0
13081,98-11922,reporting deadline for the Advisory Committee on Public Interest Obligations of Digital Television Broadcasters,"October 1, 1998",,"inserting ``October 1, 1998'' in lieu thereof.",0
13083,98-13552,Effective 90 days after the date of this order.,,,This order shall be effective 90 days after the date of this order.,0
13083,98-13552,Agencies must decide on waiver applications within 120 days of receipt.,,Each agency,"Each agency shall, to the extent practicable and permitted by law, render a decision upon a complete application for a waiver within 120 days of receipt of such application by the agency.",0
13084,98-13553,Effective date of the order,"90 days after May 14, 1998",Executive Branch,This order shall be effective 90 days after the date of this order.,0
13084,98-13553,Decision on tribal waiver applications,120 days after receipt of the application,Each agency,render a decision upon a complete application for a waiver within 120 days of receipt of such application by the agency.,0
13086,98-14688,"Report of the prisoner’s name, offenses, and ordering authority must be made",within 24 hours after the commitment of a prisoner,Commander of the prisoner,"within 24 hours after that commitment, cause a report to be made to the commander that shall contain the name of the prisoner",0
13086,98-14688,Commander must decide whether pre‑trial confinement will continue,Not later than 72 hours after the commander’s ordering of a prisoner into pre‑trial confinement,Commander of the prisoner,Not later than 72 hours after the commander's ordering of a prisoner into pretrial confinement … the commander shall decide whether pretrial confinement will continue,0
13086,98-14688,Neutral and detached officer must make a 48‑hour probable‑cause determination,within 48 hours of imposition of confinement,Neutral and detached officer,Review of the adequacy of probable cause … shall be made by a neutral and detached officer within 48 hours of imposition of confinement,0
13086,98-14688,7‑day reviewing officer must complete the review of probable cause and necessity for continued confinement,Within 7 days of the imposition of confinement,7‑day reviewing officer (neutral and detached),"Within 7 days of the imposition of confinement, a neutral and detached officer … shall review the probable cause determination and necessity for continued pretrial confinement",0
13086,98-14688,7‑day reviewing officer may extend the review period,up to 10 days after the imposition of pre‑trial confinement (good‑cause extension),7‑day reviewing officer,"The 7‑day reviewing officer may, for good cause, extend the time limit for completion of the review to 10 days after the imposition of pretrial confinement",0
